player_id,source_player_id,player_name,normalized_player_name,team_id,role,valid_from,valid_to,source_id,source_record_locator,identity_method,identity_confidence,quality_flags,provenance
oe:player:6378658dafc3eeb902fa2e52f909172,oe:player:6378658dafc3eeb902fa2e52f909172,Tomo,tomo,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,2023-02-24T01:53:29Z,2025-08-23T22:39:00Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=44249,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6378658dafc3eeb902fa2e52f909172,oe:player:6378658dafc3eeb902fa2e52f909172,Tomo,tomo,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,2021-06-27T23:06:45Z,2021-08-01T23:43:37Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=100330,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6378658dafc3eeb902fa2e52f909172,oe:player:6378658dafc3eeb902fa2e52f909172,Tomo,tomo,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,2024-08-03T21:48:55Z,2024-09-06T22:01:47Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=95453,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:63ba5c5e5bb73ace706183b5e05a27e,oe:player:63ba5c5e5bb73ace706183b5e05a27e,Bjergsen,bjergsen,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,2023-01-26T22:16:48Z,2023-03-26T00:23:26Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=9508,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:63ba5c5e5bb73ace706183b5e05a27e,oe:player:63ba5c5e5bb73ace706183b5e05a27e,Bjergsen,bjergsen,oe:team:8eb884e168f28402ce685bedebb5250,MID,2022-01-15T20:52:15Z,2022-09-04T23:38:13Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=2853,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:63ba5c5e5bb73ace706183b5e05a27e,oe:player:63ba5c5e5bb73ace706183b5e05a27e,Bjergsen,bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,2020-01-26T20:35:10Z,2020-09-07T01:13:41Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4245,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:647116a60606bd44fb11a860da72776,oe:player:647116a60606bd44fb11a860da72776,Breezy,breezy,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,2026-01-25T23:15:54Z,2026-01-26T00:04:23Z,src_oracles_elixir,data/raw/oracles_elixir/2026_LoL_esports_match_data_from_OraclesElixir.csv#line=5267,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:647116a60606bd44fb11a860da72776,oe:player:647116a60606bd44fb11a860da72776,Breezy,breezy,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,2022-03-27T20:08:54Z,2022-03-27T20:08:54Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=54563,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:65859b9ee65cbbf96fe589d8ec8abbc,oe:player:65859b9ee65cbbf96fe589d8ec8abbc,Nukeduck,nukeduck,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,2023-06-15T00:51:45Z,2023-06-16T23:52:26Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=72621,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:67007ffa5eb4f53d82366f6685a8303,oe:player:67007ffa5eb4f53d82366f6685a8303,Kisno,kisno,oe:team:289284911fb6f41c0ccaecc3a0c2891,JGL,2026-01-24T23:14:34Z,2026-02-01T22:55:17Z,src_oracles_elixir,data/raw/oracles_elixir/2026_LoL_esports_match_data_from_OraclesElixir.csv#line=4899,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
