normalized_dataset,normalized_primary_key,source_id,raw_snapshot_sha256,source_record_locator,normalizer_version,normalization_timestamp_utc,direct_evidence,inference_used,inference_rule,quality_flags
games,ESPORTSTMNT01/1881259,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36998,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1881279,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=37034,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1881325,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=37070,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1881359,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=37094,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1885454,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=42710,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1885491,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=42746,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1885505,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=42770,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1885512,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=42794,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1885524,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=42818,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1890214,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=34970,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1890244,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=35006,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1890282,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=35054,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1890301,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=35174,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1890306,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=35186,player_model_v2_stage_3d_normalizer_v1,,true,false,,
