player,target_cutoff,team,role,opponent_role_fantasy_points_allowed_recent,opponent_role_fantasy_points_allowed_long,opponent_role_KP_allowed_recent,opponent_role_deaths_created_recent,minimum_history,latest_source_match_timestamp
Srtty,2025-04-05 20:14:15+00:00,Dignitas,TOP,21.333333333333332,14.545454545454545,0.6459383753501401,3.3333333333333335,3,2025-02-09 23:49:15+00:00
River,2025-04-12 20:06:56+00:00,100 Thieves,JGL,23.333333333333332,20.723684210526315,0.6929971988795517,4.0,3,2025-04-06 21:16:20+00:00
Inspired,2025-04-12 20:06:56+00:00,FlyQuest,JGL,18.333333333333332,15.443037974683545,0.7734593837535014,3.0,3,2025-04-06 22:13:45+00:00
Loki,2025-04-12 20:06:56+00:00,Cloud9,MID,26.666666666666668,17.066666666666666,0.7095238095238096,1.6666666666666667,3,2025-04-06 20:07:24+00:00
Quid,2025-04-12 20:06:56+00:00,100 Thieves,MID,23.333333333333332,20.32894736842105,0.6485527544351074,4.0,3,2025-04-06 21:16:20+00:00
Lyonz,2025-04-12 20:06:56+00:00,LYON,SUP,10.666666666666666,15.0,0.5863095238095238,1.3333333333333333,3,2025-04-06 23:23:09+00:00
CoreJJ,2025-04-12 20:06:56+00:00,Team Liquid,SUP,13.666666666666666,14.716049382716049,0.5393518518518519,3.0,3,2025-04-06 21:16:20+00:00
Bwipo,2025-04-12 20:06:56+00:00,FlyQuest,TOP,10.0,11.962025316455696,0.48319327731092443,5.333333333333333,3,2025-04-06 22:13:45+00:00
Licorice,2025-04-12 20:06:56+00:00,LYON,TOP,9.0,12.428571428571429,0.49702380952380953,4.0,3,2025-04-06 23:23:09+00:00
Bvoy,2025-04-19 20:08:34+00:00,Shopify Rebellion,BOT,33.0,24.48780487804878,0.7107113316790735,1.0,3,2025-04-13 20:59:14+00:00
Zven,2025-04-19 20:08:34+00:00,Cloud9,BOT,6.0,17.693548387096776,0.7428571428571429,2.6666666666666665,3,2025-04-13 22:48:13+00:00
Sheiden,2025-04-19 20:08:34+00:00,Dignitas,JGL,25.0,20.45762711864407,0.7005347593582888,1.0,3,2025-04-13 22:48:13+00:00
Inspired,2025-04-19 20:08:34+00:00,FlyQuest,JGL,11.0,15.222222222222221,0.5627450980392157,5.666666666666667,3,2025-04-13 20:59:14+00:00
Loki,2025-04-19 20:08:34+00:00,Cloud9,MID,4.0,16.64516129032258,0.5873015873015873,2.6666666666666665,3,2025-04-13 22:48:13+00:00
Quid,2025-04-19 20:08:34+00:00,100 Thieves,MID,15.0,20.012820512820515,0.6252723311546841,3.3333333333333335,3,2025-04-13 20:06:51+00:00
Eyla,2025-04-19 20:08:34+00:00,100 Thieves,SUP,18.333333333333332,20.96153846153846,0.6982570806100218,3.0,3,2025-04-13 20:06:51+00:00
CoreJJ,2025-04-19 20:08:34+00:00,Team Liquid,SUP,7.0,14.55421686746988,0.7731481481481483,2.6666666666666665,3,2025-04-13 21:53:10+00:00
Bwipo,2025-04-19 20:08:34+00:00,FlyQuest,TOP,9.666666666666666,11.962962962962964,0.44985994397759105,4.0,3,2025-04-13 20:59:14+00:00
Fudge,2025-04-19 20:08:34+00:00,Shopify Rebellion,TOP,32.666666666666664,17.21951219512195,0.7333540115798179,2.0,3,2025-04-13 20:59:14+00:00
Zven,2025-04-21 20:07:10+00:00,Cloud9,BOT,6.666666666666667,17.359375,0.8666666666666667,3.0,3,2025-04-20 21:02:57+00:00
Tomo,2025-04-21 20:07:10+00:00,Dignitas,BOT,26.666666666666668,21.78688524590164,0.6515151515151515,2.6666666666666665,3,2025-04-20 22:53:25+00:00
Blaber,2025-04-21 20:07:10+00:00,Cloud9,JGL,5.333333333333333,14.3125,0.9333333333333332,3.0,3,2025-04-20 21:02:57+00:00
Inspired,2025-04-21 20:07:10+00:00,FlyQuest,JGL,12.0,15.156626506024097,0.676470588235294,5.333333333333333,3,2025-04-20 21:02:57+00:00
APA,2025-04-21 20:07:10+00:00,Team Liquid,MID,21.0,17.847058823529412,0.8910256410256411,2.3333333333333335,3,2025-04-20 22:02:17+00:00
Loki,2025-04-21 20:07:10+00:00,Cloud9,MID,5.0,16.21875,0.8222222222222223,3.3333333333333335,3,2025-04-20 21:02:57+00:00
Vulcan,2025-04-21 20:07:10+00:00,Cloud9,SUP,4.333333333333333,14.84375,0.9333333333333332,3.6666666666666665,3,2025-04-20 21:02:57+00:00
CoreJJ,2025-04-21 20:07:10+00:00,Team Liquid,SUP,15.333333333333334,14.611764705882353,0.7858391608391608,1.6666666666666667,3,2025-04-20 22:02:17+00:00
Bwipo,2025-04-21 20:07:10+00:00,FlyQuest,TOP,18.333333333333332,12.08433734939759,0.7871148459383753,4.333333333333333,3,2025-04-20 21:02:57+00:00
Fudge,2025-04-21 20:07:10+00:00,Shopify Rebellion,TOP,25.666666666666668,17.069767441860463,0.8051865907653384,2.6666666666666665,3,2025-04-20 22:02:17+00:00
Yeon,2025-05-03 20:08:26+00:00,Team Liquid,BOT,12.666666666666666,17.011363636363637,0.5384615384615384,4.0,3,2025-04-26 22:55:43+00:00
