player,target_cutoff,prior_games,kp_recent,kp_long,kp_recent_minus_long,damage_share_recent,damage_share_long,damage_share_delta,gold_share_recent,gold_share_long,gold_share_delta,csdiffat15_recent,csdiffat15_long,csdiffat15_delta,latest_source_match_timestamp,source
Blaber,2024-08-03 20:08:15+00:00,34,0.7053140096618358,0.7770972556929618,-0.07178324603112607,0.23008566666666672,0.17667473823529414,0.05341092843137257,0.19537633333333335,0.18637405882352942,0.009002274509803926,20.333333333333332,10.264705882352942,10.06862745098039,2024-07-27 21:03:03+00:00,Oracle Elixir prior completed games
Jensen,2024-08-03 20:08:15+00:00,38,0.6452380952380952,0.6641495013183841,-0.01891140608028896,0.23005633333333333,0.2633162368421053,-0.033259903508771976,0.222741,0.24962826315789471,-0.02688726315789472,2.3333333333333335,0.23684210526315788,2.0964912280701755,2024-07-27 22:39:35+00:00,Oracle Elixir prior completed games
Quid,2024-08-03 20:08:15+00:00,37,0.35784313725490197,0.6873882489796476,-0.3295451117247456,0.24924066666666667,0.2929815945945946,-0.04374092792792794,0.26731,0.26066505405405405,0.006644945945945946,-13.0,1.2162162162162162,-14.216216216216216,2024-07-28 21:43:16+00:00,Oracle Elixir prior completed games
Eyla,2024-08-03 20:08:15+00:00,37,0.40196078431372556,0.6949823515343775,-0.2930215672206519,0.05910223333333334,0.07774772702702702,-0.018645493693693685,0.0797212,0.11241727027027026,-0.03269607027027026,6.666666666666667,14.783783783783784,-8.117117117117118,2024-07-28 21:43:16+00:00,Oracle Elixir prior completed games
huhi,2024-08-03 20:08:15+00:00,31,0.8376068376068376,0.767388751876418,0.07021808573041965,0.08277646666666666,0.08605892580645162,-0.003282459139784963,0.12082433333333333,0.11973363548387096,0.0010906978494623631,42.666666666666664,20.032258064516128,22.634408602150536,2024-07-27 21:03:03+00:00,Oracle Elixir prior completed games
FakeGod,2024-08-03 20:08:15+00:00,24,0.42162698412698413,0.49098463975108714,-0.06935765562410301,0.15160433333333334,0.1940236,-0.04241926666666665,0.178679,0.20100320833333332,-0.022324208333333317,-13.0,-1.5833333333333333,-11.416666666666666,2024-07-27 22:39:35+00:00,Oracle Elixir prior completed games
Impact,2024-08-03 20:08:15+00:00,45,0.6103174603174604,0.5696090307052976,0.04070842961216281,0.26517833333333335,0.20911142666666666,0.056066906666666694,0.21056133333333335,0.2078687333333333,0.002692600000000045,0.3333333333333333,2.888888888888889,-2.5555555555555554,2024-07-28 23:12:39+00:00,Oracle Elixir prior completed games
Yeon,2024-08-05 00:15:54+00:00,48,0.8305555555555556,0.7027041902203853,0.12785136533517028,0.293498,0.2803745833333333,0.013123416666666665,0.27573766666666666,0.2535409375,0.02219672916666665,-5.333333333333333,17.0625,-22.395833333333332,2024-08-04 21:43:36+00:00,Oracle Elixir prior completed games
Tomo,2024-08-05 00:15:54+00:00,20,0.709551656920078,0.6782539682539682,0.031297688666109824,0.26963333333333334,0.29007089999999996,-0.02043756666666663,0.24924100000000002,0.25850585000000004,-0.009264850000000019,5.333333333333333,15.35,-10.016666666666666,2024-08-03 22:53:02+00:00,Oracle Elixir prior completed games
UmTi,2024-08-05 00:15:54+00:00,48,0.8560185185185185,0.7039497965017887,0.15206872201672983,0.11202293333333334,0.13587495416666667,-0.023852020833333334,0.17153766666666667,0.17052070833333333,0.0010169583333333454,-6.333333333333333,-8.125,1.791666666666667,2024-08-04 21:43:36+00:00,Oracle Elixir prior completed games
Bugi,2024-08-05 00:15:54+00:00,20,0.8120772946859903,0.7415550232884329,0.0705222713975574,0.21789099999999997,0.17892035499999998,0.038970645,0.210032,0.19057955,0.01945245000000001,-21.333333333333332,-13.9,-7.433333333333332,2024-08-04 23:24:32+00:00,Oracle Elixir prior completed games
CoreJJ,2024-08-05 00:15:54+00:00,48,0.6972222222222223,0.7142803993591448,-0.01705817713692248,0.059626533333333336,0.07661318958333334,-0.016986656250000003,0.10831093333333335,0.10838178124999999,-7.084791666664425e-05,0.3333333333333333,-10.145833333333334,10.479166666666668,2024-08-04 21:43:36+00:00,Oracle Elixir prior completed games
Isles,2024-08-05 00:15:54+00:00,32,0.7479638009049774,0.7754401583968148,-0.02747635749183741,0.06812700000000001,0.0777316375,-0.009604637499999999,0.08870543333333332,0.10718875312500001,-0.01848331979166669,1.6666666666666667,-6.0,7.666666666666667,2024-08-03 20:53:30+00:00,Oracle Elixir prior completed games
Licorice,2024-08-05 00:15:54+00:00,14,0.5782805429864254,0.4422467273622737,0.13603381562415168,0.13803200000000002,0.17123892142857142,-0.0332069214285714,0.19468266666666664,0.2064737142857143,-0.011791047619047645,-11.333333333333334,-4.0,-7.333333333333334,2024-08-03 20:53:30+00:00,Oracle Elixir prior completed games
Impact,2024-08-05 00:15:54+00:00,48,0.5018518518518519,0.5653742070269573,-0.0635223551751054,0.20550900000000002,0.208886275,-0.003377274999999985,0.18590133333333334,0.20649577083333334,-0.020594437500000007,4.333333333333333,2.9791666666666665,1.3541666666666665,2024-08-04 21:43:36+00:00,Oracle Elixir prior completed games
Massu,2024-08-17 20:07:21+00:00,44,0.565967365967366,0.6653617552795299,-0.09939438931216393,0.22010133333333334,0.25180808409090905,-0.0317067507575757,0.2566916666666667,0.2279769090909091,0.028714757575757616,14.666666666666666,-3.9545454545454546,18.62121212121212,2024-08-11 20:52:02+00:00,Oracle Elixir prior completed games
