season,split,period_id,fantasy_lock_time,GoL_tournament,GoL_round,match_date,team,opponent,series_id,best_of,maximum_possible_games,patch,source_page_type,source_reference,retrieval_timestamp,identity_mapping_status
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,ltanorth2025split3,WEEK3,2025-08-10,Cloud9,Team Liquid,70670,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,ltanorth2025split3,WEEK3,2025-08-09,LYON,FlyQuest,70673,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,ltanorth2025split3,WEEK3,2025-08-09,100 Thieves,SR,70676,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,ltanorth2025split3,WEEK3,2025-08-10,Dignitas,Disguised,70679,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,ltanorth2025split3,ROUND2,2025-08-17,FlyQuest,Team Liquid,71058,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,ltanorth2025split3,ROUND2,2025-08-16,Cloud9,SR,71053,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,ltanorth2025split3,ROUND2,2025-08-17,Team Liquid,FlyQuest,71058,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,ltanorth2025split3,ROUND2,2025-08-16,SR,Cloud9,71053,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,ltanorth2025split3,ROUND1,2025-08-24,100 Thieves,LYON,71048,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,ltanorth2025split3,ROUND1,2025-08-23,Dignitas,Disguised,71043,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,ltanorth2025split3,ROUND1,2025-08-24,LYON,100 Thieves,71048,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,ltanorth2025split3,ROUND1,2025-08-23,Disguised,Dignitas,71043,,,15.16,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,ltanorth2025split3,ROUND2,2025-08-30,100 Thieves,Team Liquid,71742,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,ltanorth2025split3,ROUND4,2025-08-31,FlyQuest,SR,71747,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,ltanorth2025split3,ROUND2,2025-08-29,Cloud9,Disguised,71737,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,ltanorth2025split3,ROUND2,2025-08-30,Team Liquid,100 Thieves,71742,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,ltanorth2025split3,ROUND4,2025-08-31,SR,FlyQuest,71747,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,ltanorth2025split3,FINALS,2025-09-07,FlyQuest,100 Thieves,72293,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,ltanorth2025split3,ROUND3,2025-09-05,Cloud9,100 Thieves,72044,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,ltanorth2025split3,ROUND4,2025-09-06,SR,100 Thieves,72255,,,15.17,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
