team_id,prediction_period_id,opponent_count,scheduled_series_count,series_format,best_of,scheduled_game_floor,expected_games_total,days_to_first_series,schedule_density,multi_opponent_indicator,target_cutoff,evidence_class,quality_status
oe:team:8eb884e168f28402ce685bedebb5250,period:0c3bfca85acd014e625d,1,2,MIXED,nan,6.5,6.5,0,0.025974025974025976,0.0,2024-03-30T20:22:30+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:0c3bfca85acd014e625d,1,1,BO3,3.0,2.5,2.5,76,1.0,0.0,2024-03-30T20:22:30+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:0f3dd675ff7b55987f43,1,1,BO3,3.0,2.5,2.5,6,1.0,0.0,2024-07-20T20:10:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:0f3dd675ff7b55987f43,1,1,BO3,3.0,2.5,2.5,0,1.0,0.0,2024-07-20T20:10:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:0f3dd675ff7b55987f43,2,2,BO3,3.0,5.0,5.0,0,0.2857142857142857,1.0,2024-07-20T20:10:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:0f3dd675ff7b55987f43,2,2,BO3,3.0,5.0,5.0,0,0.2857142857142857,1.0,2024-07-20T20:10:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:0f3dd675ff7b55987f43,2,2,BO3,3.0,5.0,5.0,0,0.2857142857142857,1.0,2024-07-20T20:10:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:111e9dfa6ccd70cbab3b,4,4,BO1,1.0,4.0,4.0,0,0.5714285714285714,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:111e9dfa6ccd70cbab3b,2,2,BO1,1.0,2.0,2.0,1,2.0,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:111e9dfa6ccd70cbab3b,4,4,BO1,1.0,4.0,4.0,0,0.5714285714285714,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:87ee02298073abc2d55060f097d4041,period:111e9dfa6ccd70cbab3b,3,3,BO1,1.0,3.0,3.0,0,1.0,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:111e9dfa6ccd70cbab3b,3,3,BO1,1.0,3.0,3.0,1,0.5,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:111e9dfa6ccd70cbab3b,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:111e9dfa6ccd70cbab3b,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:111e9dfa6ccd70cbab3b,3,3,BO1,1.0,3.0,3.0,0,1.5,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:111e9dfa6ccd70cbab3b,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:111e9dfa6ccd70cbab3b,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2021-06-18T21:02:38+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:14606e5066005561df07,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,0,2.0,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,0,0.14285714285714285,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:87ee02298073abc2d55060f097d4041,period:14606e5066005561df07,3,3,BO1,1.0,3.0,3.0,0,0.21428571428571427,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,1,0.15384615384615385,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,0,0.14285714285714285,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:14606e5066005561df07,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:14606e5066005561df07,3,3,BO1,1.0,3.0,3.0,0,0.21428571428571427,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:14606e5066005561df07,2,2,BO1,1.0,2.0,2.0,2,0.16666666666666666,1.0,2020-03-07T21:40:12+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:18a8b98d7b5d7f0b7105,1,1,BO5,5.0,4.0,4.0,0,1.0,0.0,2024-03-22T20:08:04+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:18a8b98d7b5d7f0b7105,1,1,BO5,5.0,4.0,4.0,7,1.0,0.0,2024-03-22T20:08:04+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:18a8b98d7b5d7f0b7105,2,2,BO5,5.0,8.0,8.0,0,0.25,1.0,2024-03-22T20:08:04+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,2,0.4,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,0,0.6666666666666666,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:87ee02298073abc2d55060f097d4041,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,0,2.0,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:18c306f73901eb8e548e,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:18c306f73901eb8e548e,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:18c306f73901eb8e548e,2,2,BO1,1.0,2.0,2.0,2,0.4,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:18c306f73901eb8e548e,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:18c306f73901eb8e548e,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2020-02-01T21:36:35+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:1970df0ebd4246c6ea3b,1,1,BO1,1.0,1.0,1.0,6,1.0,0.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:87ee02298073abc2d55060f097d4041,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:1970df0ebd4246c6ea3b,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:1970df0ebd4246c6ea3b,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:1970df0ebd4246c6ea3b,1,1,BO1,1.0,1.0,1.0,6,1.0,0.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:1970df0ebd4246c6ea3b,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2020-06-13T00:40:51+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:19d1212ec047ea2c2e1c,4,4,BO1,1.0,4.0,4.0,0,0.5714285714285714,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:19d1212ec047ea2c2e1c,3,3,BO1,1.0,3.0,3.0,0,0.42857142857142855,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:19d1212ec047ea2c2e1c,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:87ee02298073abc2d55060f097d4041,period:19d1212ec047ea2c2e1c,3,3,BO1,1.0,3.0,3.0,0,1.0,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:19d1212ec047ea2c2e1c,2,2,BO1,1.0,2.0,2.0,0,1.0,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:19d1212ec047ea2c2e1c,3,3,BO1,1.0,3.0,3.0,0,1.5,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:19d1212ec047ea2c2e1c,3,3,BO1,1.0,3.0,3.0,0,1.5,1.0,2021-02-12T22:29:59+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
