year,prediction_period,player,role,team,team_fe_delta,s30_base_pred,s30_cand_pred,s30_base_share,s30_cand_share,fe_base_delta,fe_cand_delta,fe_share_diff
2024,2024-02-05 00:00:00+00:00,Blaber,JGL,Cloud9,-4.2269225,11.5205,11.7691,0.1677,0.17,-0.7087,-0.7186,-0.0099
2024,2024-02-05 00:00:00+00:00,Bugi,JGL,Shopify Rebellion,-2.1979996999999982,12.1035,11.8733,0.1739,0.1739,-0.3823,-0.3822,0.0
2024,2024-02-05 00:00:00+00:00,Busio,SUP,FlyQuest,3.719691800000002,14.9106,15.1773,0.2063,0.2075,0.7674,0.772,0.0046
2024,2024-02-05 00:00:00+00:00,Bvoy,BOT,Shopify Rebellion,-2.1979996999999982,16.3067,16.0146,0.2343,0.2346,-0.515,-0.5155,-0.0005
2024,2024-02-05 00:00:00+00:00,Bwipo,TOP,FlyQuest,3.719691800000002,13.8415,13.9091,0.1915,0.1902,0.7124,0.7075,-0.0049
2024,2024-02-05 00:00:00+00:00,Castle,TOP,Immortals,1.1835383000000017,13.8237,13.0541,0.19,0.1846,0.2248,0.2185,-0.0063
2024,2024-02-05 00:00:00+00:00,Contractz,JGL,NRG,0.5072307000000011,12.4889,12.7284,0.1758,0.1786,0.0892,0.0906,0.0015
2024,2024-02-05 00:00:00+00:00,CoreJJ,SUP,Team Liquid,-2.3670766000000008,13.3359,13.5793,0.1983,0.2024,-0.4695,-0.479,-0.0096
2024,2024-02-05 00:00:00+00:00,Dhokla,TOP,NRG,0.5072307000000011,13.0074,13.1214,0.1831,0.1842,0.0929,0.0934,0.0006
2024,2024-02-05 00:00:00+00:00,Dove,MID,Dignitas,-2.705230399999999,14.0849,13.4875,0.2078,0.2046,-0.5621,-0.5535,0.0086
2024,2024-02-05 00:00:00+00:00,Eyla,SUP,100 Thieves,1.5216921000000005,13.9015,13.776,0.1971,0.1957,0.3,0.2978,-0.0022
2024,2024-02-05 00:00:00+00:00,FBI,BOT,NRG,0.5072307000000011,16.1893,16.0552,0.2278,0.2253,0.1156,0.1143,-0.0013
2024,2024-02-05 00:00:00+00:00,FakeGod,TOP,Shopify Rebellion,-2.1979996999999982,13.2262,12.6824,0.19,0.1857,-0.4177,-0.4083,0.0094
2024,2024-02-05 00:00:00+00:00,Fudge,TOP,Cloud9,-4.2269225,13.5095,13.329,0.1966,0.1925,-0.8311,-0.8138,0.0172
2024,2024-02-05 00:00:00+00:00,Impact,TOP,Team Liquid,-2.3670766000000008,13.153,13.2817,0.1956,0.1979,-0.463,-0.4686,-0.0055
2024,2024-02-05 00:00:00+00:00,Insanity,MID,Shopify Rebellion,-2.1979996999999982,14.2311,13.8324,0.2045,0.2026,-0.4495,-0.4453,0.0042
2024,2024-02-05 00:00:00+00:00,Inspired,JGL,FlyQuest,3.719691800000002,12.4436,12.7765,0.1722,0.1747,0.6405,0.6499,0.0094
2024,2024-02-05 00:00:00+00:00,Isles,SUP,Dignitas,-2.705230399999999,14.1436,13.8759,0.2086,0.2105,-0.5644,-0.5694,-0.005
2024,2024-02-05 00:00:00+00:00,Jensen,MID,FlyQuest,3.719691800000002,15.4409,15.8571,0.2137,0.2168,0.7947,0.8066,0.0119
2024,2024-02-05 00:00:00+00:00,Jojopyun,MID,Cloud9,-4.2269225,15.2807,15.4635,0.2224,0.2234,-0.94,-0.9442,-0.0041
2024,2024-02-05 00:00:00+00:00,Mask,MID,Immortals,1.1835383000000017,16.6138,15.9807,0.2283,0.226,0.2702,0.2675,-0.0027
2024,2024-02-05 00:00:00+00:00,Massu,BOT,FlyQuest,3.719691800000002,15.6347,15.4083,0.2163,0.2107,0.8047,0.7837,-0.0209
2024,2024-02-05 00:00:00+00:00,Meech,BOT,100 Thieves,1.5216921000000005,16.0017,15.6201,0.2269,0.2219,0.3453,0.3377,-0.0076
2024,2024-02-05 00:00:00+00:00,Olleh,SUP,Immortals,1.1835383000000017,13.9048,13.6583,0.1911,0.1932,0.2262,0.2286,0.0025
2024,2024-02-05 00:00:00+00:00,Palafox,MID,NRG,0.5072307000000011,15.0371,15.2698,0.2116,0.2143,0.1073,0.1087,0.0014
2024,2024-02-05 00:00:00+00:00,Quid,MID,100 Thieves,1.5216921000000005,14.9277,15.552,0.2117,0.221,0.3221,0.3362,0.0141
2024,2024-02-05 00:00:00+00:00,Rich,TOP,Dignitas,-2.705230399999999,13.5271,12.9647,0.1995,0.1967,-0.5398,-0.532,0.0078
2024,2024-02-05 00:00:00+00:00,River,JGL,100 Thieves,1.5216921000000005,12.1258,12.3688,0.172,0.1757,0.2617,0.2674,0.0057
2024,2024-02-05 00:00:00+00:00,Sniper,TOP,100 Thieves,1.5216921000000005,13.5561,13.0681,0.1922,0.1857,0.2925,0.2825,-0.01
2024,2024-02-05 00:00:00+00:00,Tactical,BOT,Immortals,1.1835383000000017,16.3952,16.3151,0.2253,0.2308,0.2667,0.2731,0.0065
2024,2024-02-05 00:00:00+00:00,Tomo,BOT,Dignitas,-2.705230399999999,15.0144,14.7305,0.2215,0.2235,-0.5992,-0.6045,-0.0053
2024,2024-02-05 00:00:00+00:00,UmTi,JGL,Team Liquid,-2.3670766000000008,10.8466,10.0225,0.1613,0.1494,-0.3818,-0.3536,0.0283
2024,2024-02-05 00:00:00+00:00,Vulcan,SUP,Cloud9,-4.2269225,13.4864,13.6561,0.1963,0.1973,-0.8296,-0.8338,-0.0042
2024,2024-02-05 00:00:00+00:00,Yeon,BOT,Team Liquid,-2.3670766000000008,14.8151,15.0978,0.2203,0.225,-0.5215,-0.5326,-0.0111
2024,2024-02-05 00:00:00+00:00,Zeyzal,SUP,Shopify Rebellion,-2.1979996999999982,13.7271,13.8742,0.1972,0.2032,-0.4335,-0.4466,-0.0131
2024,2024-02-05 00:00:00+00:00,eXyu,JGL,Dignitas,-2.705230399999999,11.0202,10.8613,0.1626,0.1648,-0.4398,-0.4457,-0.006
2024,2024-02-05 00:00:00+00:00,huhi,SUP,NRG,0.5072307000000011,14.3309,14.0766,0.2017,0.1976,0.1023,0.1002,-0.0021
2024,2024-02-26 00:00:00+00:00,APA,MID,Team Liquid,-1.0144613999999994,15.0756,15.0975,0.2161,0.2147,-0.2192,-0.2178,0.0014
2024,2024-02-26 00:00:00+00:00,Armao,JGL,Immortals,-0.6763076000000006,11.8789,11.738,0.1719,0.1705,-0.1163,-0.1153,0.001
2024,2024-02-26 00:00:00+00:00,Berserker,BOT,Cloud9,-4.734153199999998,16.2412,16.4085,0.234,0.2295,-1.1077,-1.0863,0.0215
2024,2024-02-26 00:00:00+00:00,Blaber,JGL,Cloud9,-4.734153199999998,11.5438,11.933,0.1663,0.1669,-0.7874,-0.79,-0.0026
2024,2024-02-26 00:00:00+00:00,Bugi,JGL,Shopify Rebellion,3.003409076995922e-15,12.124,12.0328,0.1789,0.1779,0.0,0.0,-0.0
2024,2024-02-26 00:00:00+00:00,Busio,SUP,FlyQuest,0.8453845,14.4265,14.5656,0.1977,0.2036,0.1672,0.1721,0.0049
2024,2024-02-26 00:00:00+00:00,Bvoy,BOT,Shopify Rebellion,3.003409076995922e-15,15.782,15.569,0.2329,0.2302,0.0,0.0,-0.0
2024,2024-02-26 00:00:00+00:00,Bwipo,TOP,FlyQuest,0.8453845,14.4178,14.0713,0.1976,0.1967,0.1671,0.1663,-0.0008
2024,2024-02-26 00:00:00+00:00,Castle,TOP,Immortals,-0.6763076000000006,13.2545,12.9423,0.1918,0.1879,-0.1297,-0.1271,0.0026
2024,2024-02-26 00:00:00+00:00,Contractz,JGL,NRG,-5.410460799999998,11.546,11.884,0.1741,0.1752,-0.9418,-0.9477,-0.0059
2024,2024-02-26 00:00:00+00:00,CoreJJ,SUP,Team Liquid,-1.0144613999999994,14.1735,14.3101,0.2032,0.2035,-0.2061,-0.2065,-0.0004
2024,2024-02-26 00:00:00+00:00,Dhokla,TOP,NRG,-5.410460799999998,12.4527,12.486,0.1877,0.184,-1.0158,-0.9957,0.0201
2024,2024-02-26 00:00:00+00:00,Dove,MID,Dignitas,2.028922800000002,15.1627,14.6356,0.2097,0.2079,0.4255,0.4218,-0.0037
2024,2024-02-26 00:00:00+00:00,Eyla,SUP,100 Thieves,1.0144613999999994,14.2699,14.4884,0.198,0.2007,0.2008,0.2036,0.0028
2024,2024-02-26 00:00:00+00:00,FBI,BOT,NRG,-5.410460799999998,15.0162,15.6457,0.2264,0.2306,-1.2249,-1.2477,-0.0228
2024,2024-02-26 00:00:00+00:00,FakeGod,TOP,Shopify Rebellion,3.003409076995922e-15,12.8658,12.4382,0.1898,0.1839,0.0,0.0,-0.0
2024,2024-02-26 00:00:00+00:00,Fudge,TOP,Cloud9,-4.734153199999998,13.2056,13.6672,0.1903,0.1911,-0.9007,-0.9048,-0.0041
2024,2024-02-26 00:00:00+00:00,Impact,TOP,Team Liquid,-1.0144613999999994,13.8878,14.0273,0.1991,0.1995,-0.202,-0.2024,-0.0004
2024,2024-02-26 00:00:00+00:00,Insanity,MID,Shopify Rebellion,3.003409076995922e-15,13.7334,13.6972,0.2026,0.2025,0.0,0.0,-0.0
2024,2024-02-26 00:00:00+00:00,Inspired,JGL,FlyQuest,0.8453845,12.8242,12.5694,0.1758,0.1757,0.1486,0.1485,-0.0001
2024,2024-02-26 00:00:00+00:00,Isles,SUP,Dignitas,2.028922800000002,14.6265,14.64,0.2023,0.2079,0.4105,0.4219,0.0114
2024,2024-02-26 00:00:00+00:00,Jensen,MID,FlyQuest,0.8453845,16.1375,15.8082,0.2212,0.2209,0.187,0.1868,-0.0002
2024,2024-02-26 00:00:00+00:00,Jojopyun,MID,Cloud9,-4.734153199999998,14.4895,15.0812,0.2088,0.2109,-0.9883,-0.9984,-0.0101
2024,2024-02-26 00:00:00+00:00,Mask,MID,Immortals,-0.6763076000000006,15.6321,15.4133,0.2262,0.2238,-0.153,-0.1514,0.0016
2024,2024-02-26 00:00:00+00:00,Massu,BOT,FlyQuest,0.8453845,15.1511,14.5324,0.2077,0.2031,0.1756,0.1717,-0.0039
2024,2024-02-26 00:00:00+00:00,Meech,BOT,100 Thieves,1.0144613999999994,16.6934,16.5328,0.2316,0.2291,0.2349,0.2324,-0.0026
2024,2024-02-26 00:00:00+00:00,Olleh,SUP,Immortals,-0.6763076000000006,13.2977,13.5766,0.1924,0.1972,-0.1301,-0.1333,-0.0032
2024,2024-02-26 00:00:00+00:00,Palafox,MID,NRG,-5.410460799999998,14.5575,14.5789,0.2195,0.2149,-1.1875,-1.1626,0.0249
2024,2024-02-26 00:00:00+00:00,Quid,MID,100 Thieves,1.0144613999999994,15.6742,15.8616,0.2174,0.2198,0.2206,0.2229,0.0024
2024,2024-02-26 00:00:00+00:00,Rich,TOP,Dignitas,2.028922800000002,14.1463,13.7984,0.1957,0.196,0.397,0.3977,0.0007
2024,2024-02-26 00:00:00+00:00,River,JGL,100 Thieves,1.0144613999999994,11.8126,11.9684,0.1639,0.1658,0.1662,0.1682,0.002
2024,2024-02-26 00:00:00+00:00,Sniper,TOP,100 Thieves,1.0144613999999994,13.6371,13.3258,0.1892,0.1846,0.1919,0.1873,-0.0046
2024,2024-02-26 00:00:00+00:00,Tactical,BOT,Immortals,-0.6763076000000006,15.038,15.1924,0.2176,0.2206,-0.1472,-0.1492,-0.002
2024,2024-02-26 00:00:00+00:00,Tomo,BOT,Dignitas,2.028922800000002,16.1458,15.5599,0.2233,0.221,0.4531,0.4484,-0.0047
2024,2024-02-26 00:00:00+00:00,UmTi,JGL,Team Liquid,-1.0144613999999994,11.0384,10.9864,0.1582,0.1563,-0.1605,-0.1585,0.002
2024,2024-02-26 00:00:00+00:00,Vulcan,SUP,Cloud9,-4.734153199999998,13.93,14.4207,0.2007,0.2017,-0.9501,-0.9547,-0.0046
2024,2024-02-26 00:00:00+00:00,Yeon,BOT,Team Liquid,-1.0144613999999994,15.5858,15.8845,0.2234,0.2259,-0.2266,-0.2292,-0.0026
2024,2024-02-26 00:00:00+00:00,Zeyzal,SUP,Shopify Rebellion,3.003409076995922e-15,13.2657,13.889,0.1957,0.2054,0.0,0.0,0.0
2024,2024-02-26 00:00:00+00:00,eXyu,JGL,Dignitas,2.028922800000002,12.2177,11.769,0.169,0.1672,0.3429,0.3392,-0.0037
2024,2024-02-26 00:00:00+00:00,huhi,SUP,NRG,-5.410460799999998,12.7538,13.2509,0.1923,0.1953,-1.0404,-1.0567,-0.0163
2024,2024-03-04 00:00:00+00:00,APA,MID,Team Liquid,-2.705230399999999,15.5485,15.0896,0.2187,0.2145,-0.5918,-0.5804,0.0114
2024,2024-03-04 00:00:00+00:00,Armao,JGL,Immortals,1.3526152000000011,11.9987,11.6766,0.1784,0.1744,0.2413,0.2359,-0.0054
