prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2024-07-29 00:00:00+00:00,team:100_thieves,"[""team:immortals""]",1,"[""fixture:9cacff8da14b56b93d06""]",PASS
2024-07-29 00:00:00+00:00,team:cloud9,"[""team:team_liquid""]",1,"[""fixture:6c40e3b7cf1ad5228191""]",PASS
2024-07-29 00:00:00+00:00,team:dignitas,"[""team:nrg""]",1,"[""fixture:df4ab456dca07a10dbf1""]",PASS
2024-07-29 00:00:00+00:00,team:flyquest,"[""team:shopify_rebellion""]",1,"[""fixture:658a69e591ff27eadf45""]",PASS
2024-07-29 00:00:00+00:00,team:immortals,"[""team:100_thieves""]",1,"[""fixture:9cacff8da14b56b93d06""]",PASS
2024-07-29 00:00:00+00:00,team:nrg,"[""team:dignitas""]",1,"[""fixture:df4ab456dca07a10dbf1""]",PASS
2024-07-29 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest""]",1,"[""fixture:658a69e591ff27eadf45""]",PASS
2024-07-29 00:00:00+00:00,team:team_liquid,"[""team:cloud9""]",1,"[""fixture:6c40e3b7cf1ad5228191""]",PASS
2024-08-05 00:00:00+00:00,team:100_thieves,"[""team:shopify_rebellion""]",1,"[""fixture:ba5d1b6cbe3fd4a2f060""]",PASS
2024-08-05 00:00:00+00:00,team:cloud9,"[""team:flyquest""]",1,"[""fixture:7e48e290cfb2a31bff1d""]",PASS
2024-08-05 00:00:00+00:00,team:dignitas,"[""team:immortals""]",1,"[""fixture:0f63f2bc7dc7c0130586""]",PASS
2024-08-05 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:7e48e290cfb2a31bff1d""]",PASS
2024-08-05 00:00:00+00:00,team:immortals,"[""team:dignitas""]",1,"[""fixture:0f63f2bc7dc7c0130586""]",PASS
2024-08-05 00:00:00+00:00,team:nrg,"[""team:team_liquid""]",1,"[""fixture:b26bedb8139c0e261623""]",PASS
2024-08-05 00:00:00+00:00,team:shopify_rebellion,"[""team:100_thieves""]",1,"[""fixture:ba5d1b6cbe3fd4a2f060""]",PASS
2024-08-05 00:00:00+00:00,team:team_liquid,"[""team:nrg""]",1,"[""fixture:b26bedb8139c0e261623""]",PASS
2024-08-12 00:00:00+00:00,team:100_thieves,"[""team:dignitas""]",1,"[""fixture:87e314795d001cb15483""]",PASS
2024-08-12 00:00:00+00:00,team:dignitas,"[""team:100_thieves""]",1,"[""fixture:87e314795d001cb15483""]",PASS
2024-08-12 00:00:00+00:00,team:flyquest,"[""team:nrg""]",1,"[""fixture:e42c1daa835180e490c7""]",PASS
2024-08-12 00:00:00+00:00,team:nrg,"[""team:flyquest""]",1,"[""fixture:e42c1daa835180e490c7""]",PASS
2024-08-19 00:00:00+00:00,team:100_thieves,"[""team:team_liquid""]",1,"[""fixture:ef10da17426efb120d9f""]",PASS
2024-08-19 00:00:00+00:00,team:cloud9,"[""team:flyquest""]",1,"[""fixture:1ad48b3489c5c03e12b6""]",PASS
2024-08-19 00:00:00+00:00,team:dignitas,"[""team:nrg""]",1,"[""fixture:5d1cedf0b7dad78b613c""]",PASS
2024-08-19 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:1ad48b3489c5c03e12b6""]",PASS
2024-08-19 00:00:00+00:00,team:nrg,"[""team:dignitas""]",1,"[""fixture:5d1cedf0b7dad78b613c""]",PASS
2024-08-19 00:00:00+00:00,team:team_liquid,"[""team:100_thieves""]",1,"[""fixture:ef10da17426efb120d9f""]",PASS
2024-08-26 00:00:00+00:00,team:100_thieves,"[""team:cloud9"",""team:dignitas""]",2,"[""fixture:349a7ca0e70e709d878a"",""fixture:f51bf7da6069ab469632""]",PASS
2024-08-26 00:00:00+00:00,team:cloud9,"[""team:100_thieves""]",1,"[""fixture:f51bf7da6069ab469632""]",PASS
2024-08-26 00:00:00+00:00,team:dignitas,"[""team:100_thieves""]",1,"[""fixture:349a7ca0e70e709d878a""]",PASS
2024-08-26 00:00:00+00:00,team:flyquest,"[""team:team_liquid""]",1,"[""fixture:33748551ade88967258a""]",PASS
2024-08-26 00:00:00+00:00,team:team_liquid,"[""team:flyquest""]",1,"[""fixture:33748551ade88967258a""]",PASS
2024-09-02 00:00:00+00:00,team:100_thieves,"[""team:flyquest""]",1,"[""fixture:8ad4ef9bb998101f710c""]",PASS
2024-09-02 00:00:00+00:00,team:flyquest,"[""team:100_thieves"",""team:team_liquid""]",2,"[""fixture:15cf7b24b17b28bfa0cd"",""fixture:8ad4ef9bb998101f710c""]",PASS
2024-09-02 00:00:00+00:00,team:team_liquid,"[""team:flyquest""]",1,"[""fixture:15cf7b24b17b28bfa0cd""]",PASS
2025-01-20 00:00:00+00:00,team:100_thieves,"[""team:disguised""]",1,"[""fixture:6a4d38f790f5ee1de09f""]",PASS
2025-01-20 00:00:00+00:00,team:cloud9,"[""team:lyon""]",1,"[""fixture:d6aaaa30b7b54fa498ec""]",PASS
2025-01-20 00:00:00+00:00,team:disguised,"[""team:100_thieves""]",1,"[""fixture:6a4d38f790f5ee1de09f""]",PASS
2025-01-20 00:00:00+00:00,team:flyquest,"[""team:shopify_rebellion""]",1,"[""fixture:b5cf9ba3736dd82cb69c""]",PASS
2025-01-20 00:00:00+00:00,team:lyon,"[""team:cloud9""]",1,"[""fixture:d6aaaa30b7b54fa498ec""]",PASS
2025-01-20 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest""]",1,"[""fixture:b5cf9ba3736dd82cb69c""]",PASS
2025-01-27 00:00:00+00:00,team:100_thieves,"[""team:team_liquid""]",1,"[""fixture:c88fe1b25f40ab5f1fc4""]",PASS
2025-01-27 00:00:00+00:00,team:dignitas,"[""team:disguised"",""team:team_liquid""]",2,"[""fixture:421b5415209dcb20ad1e"",""fixture:502ddbb5f6341a798255""]",PASS
2025-01-27 00:00:00+00:00,team:disguised,"[""team:dignitas""]",1,"[""fixture:421b5415209dcb20ad1e""]",PASS
2025-01-27 00:00:00+00:00,team:lyon,"[""team:shopify_rebellion""]",1,"[""fixture:75abbd2242f90ae073c6""]",PASS
2025-01-27 00:00:00+00:00,team:shopify_rebellion,"[""team:lyon""]",1,"[""fixture:75abbd2242f90ae073c6""]",PASS
2025-01-27 00:00:00+00:00,team:team_liquid,"[""team:100_thieves"",""team:dignitas""]",2,"[""fixture:502ddbb5f6341a798255"",""fixture:c88fe1b25f40ab5f1fc4""]",PASS
2025-02-03 00:00:00+00:00,team:100_thieves,"[""team:cloud9""]",1,"[""fixture:f393928ee4d6a87c8b1f""]",PASS
2025-02-03 00:00:00+00:00,team:cloud9,"[""team:100_thieves"",""team:flyquest""]",2,"[""fixture:b594d65cbd7c5869f029"",""fixture:f393928ee4d6a87c8b1f""]",PASS
2025-02-03 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:b594d65cbd7c5869f029""]",PASS
2025-02-03 00:00:00+00:00,team:shopify_rebellion,"[""team:team_liquid""]",1,"[""fixture:154471a039032cb50957""]",PASS
2025-02-03 00:00:00+00:00,team:team_liquid,"[""team:shopify_rebellion""]",1,"[""fixture:154471a039032cb50957""]",PASS
2025-02-10 00:00:00+00:00,team:dignitas,"[""team:flyquest""]",1,"[""fixture:4a372476cfdc040c4c5f""]",PASS
2025-02-10 00:00:00+00:00,team:flyquest,"[""team:dignitas"",""team:team_liquid""]",2,"[""fixture:4a372476cfdc040c4c5f"",""fixture:a10f2a23237d3120dd54""]",PASS
2025-02-10 00:00:00+00:00,team:team_liquid,"[""team:flyquest""]",1,"[""fixture:a10f2a23237d3120dd54""]",PASS
2025-02-17 00:00:00+00:00,team:100_thieves,"[""team:flyquest"",""team:team_liquid""]",2,"[""fixture:3af992917685fdcb6fca"",""fixture:43ea7fc6c554007fb93a""]",PASS
2025-02-17 00:00:00+00:00,team:cloud9,"[""team:team_liquid""]",1,"[""fixture:06b728d0cb3ed26e83d7""]",PASS
2025-02-17 00:00:00+00:00,team:flyquest,"[""team:100_thieves""]",1,"[""fixture:3af992917685fdcb6fca""]",PASS
2025-02-17 00:00:00+00:00,team:team_liquid,"[""team:100_thieves"",""team:cloud9""]",2,"[""fixture:06b728d0cb3ed26e83d7"",""fixture:43ea7fc6c554007fb93a""]",PASS
2025-03-31 00:00:00+00:00,team:100_thieves,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:7a45189a80ea884b0749"",""fixture:cacdac7c893f4ecee20e""]",PASS
